config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:67,Player 4: orange,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,67,2026-02-28T09:06:25.304641Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:84,Player 7: white,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,84,2026-02-28T09:07:12.485088Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:91,Player 7: white,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,91,2026-02-28T09:07:30.312642Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:148,Player 3: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,148,2026-02-28T09:12:44.340189Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:270,Player 7: white,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,270,2026-02-28T09:20:38.540380Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:297,Player 2: lime,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,297,2026-02-28T09:22:42.008895Z,
C03,2026-02-28_exp_12,task_completed_v2,llm,2026-02-28_exp_12:game:3:event:4,Player 4: pink,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,4,2026-02-28T09:23:23.544938Z,
C03,2026-02-28_exp_12,task_completed_v2,llm,2026-02-28_exp_12:game:3:event:14,Player 1: green,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,14,2026-02-28T09:23:57.186933Z,
C03,2026-02-28_exp_12,task_completed_v2,human,2026-02-28_exp_12:game:3:event:16,Player 3: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,16,2026-02-28T09:24:02.426404Z,
C03,2026-02-28_exp_12,task_completed_v2,human,2026-02-28_exp_12:game:3:event:28,Player 3: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,28,2026-02-28T09:24:29.547601Z,
C03,2026-02-28_exp_12,task_completed_v2,human,2026-02-28_exp_12:game:3:event:34,Player 3: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,34,2026-02-28T09:24:43.439027Z,
